monthly_allowance,distance_from_campus,accommodation_type,transport_type,meal_habits,outings_per_month,gaming_hours,club_events,mobile_data_usage,year_of_study,printing_frequency,predicted_spending
11176,12.8,hostel,walk,home,8,33,6,14.2,3,30,8444
9355,2.3,rented,public,home,9,30,4,18.3,3,15,8666
11063,8.0,hostel,public,mess,0,24,6,9.1,4,27,7309
9008,7.2,home,public,mess,4,25,0,19.1,4,29,7034
24398,5.4,pg,public,mixed,8,40,4,3.5,3,3,13378
23916,23.5,pg,own_vehicle,mess,12,15,2,1.8,4,4,14110
5131,2.0,rented,walk,mess,5,30,6,12.7,4,29,6669
24351,0.7,pg,walk,mess,9,39,3,13.2,2,27,13452
16849,16.0,home,public,mess,8,13,3,11.5,4,17,10198
8372,3.6,hostel,own_vehicle,home,7,12,0,11.0,4,2,6970
12193,22.7,hostel,bicycle,mess,9,9,0,18.4,3,27,8754
24789,11.9,home,walk,mixed,0,40,1,19.7,3,15,11928
12352,15.5,rented,own_vehicle,home,1,14,1,9.8,1,28,8498
13819,28.2,pg,bicycle,home,2,36,3,13.7,2,30,8855
13747,7.8,hostel,public,home,8,18,3,15.6,3,9,8935
10691,19.3,home,public,cafe,9,17,3,11.4,1,15,8128
23616,25.0,pg,public,mixed,3,25,3,19.8,2,15,12792
14481,10.9,rented,walk,cafe,5,34,1,11.3,3,1,9707
3446,26.3,home,own_vehicle,mess,9,37,0,14.9,1,14,5998
7745,3.0,hostel,bicycle,cafe,9,32,0,6.4,2,7,6767
6604,24.2,rented,own_vehicle,mixed,4,1,0,1.9,3,12,6922
4015,2.9,pg,bicycle,cafe,2,0,6,18.8,2,5,4815
15557,1.8,pg,walk,mixed,11,17,1,15.5,4,26,10708
10429,7.1,home,walk,cafe,0,35,1,4.6,1,2,5920
18576,2.8,home,walk,cafe,5,29,5,5.8,3,24,10352
6608,18.2,rented,walk,mess,9,0,0,17.0,3,13,7094
17449,24.0,pg,public,home,12,26,1,7.9,3,2,11244
18461,24.0,pg,public,home,4,7,1,13.4,1,4,9957
9085,24.2,home,own_vehicle,mess,0,25,3,7.2,4,0,6522
8522,9.0,pg,bicycle,cafe,7,28,3,6.5,3,18,7608
4436,11.1,hostel,own_vehicle,cafe,3,9,1,14.6,4,22,5915
14399,5.1,hostel,public,mixed,8,39,5,18.3,1,12,9654
21148,25.9,hostel,own_vehicle,mess,5,7,0,2.3,2,23,11462
11621,3.7,rented,public,cafe,4,26,3,5.1,2,14,8581
5436,27.7,home,public,mess,9,0,5,8.8,3,9,5983
13403,19.7,rented,own_vehicle,mess,3,16,0,18.0,1,29,9607
19152,12.2,hostel,own_vehicle,mess,6,6,1,13.4,1,3,10571
6392,20.2,home,bicycle,home,1,33,5,16.7,1,14,5039
8319,1.1,pg,public,mixed,9,24,2,19.1,4,8,8001
3400,1.1,hostel,public,cafe,2,25,5,2.1,4,17,4741
7867,25.6,hostel,walk,mixed,4,13,2,15.5,2,9,6190
24652,21.3,hostel,walk,cafe,7,20,2,13.5,4,4,13078
12003,27.3,pg,bicycle,home,0,27,2,3.4,1,25,7210
5596,12.8,rented,own_vehicle,mess,3,33,6,19.0,3,3,7098
23575,21.1,pg,bicycle,cafe,11,27,3,7.1,1,27,13702
19228,8.7,rented,public,home,12,14,0,19.0,3,18,12452
13304,0.5,hostel,public,cafe,1,6,5,17.8,4,29,8472
24406,3.3,pg,public,mixed,11,15,5,3.0,1,30,13665
19264,16.4,hostel,own_vehicle,mixed,9,20,3,15.2,1,3,11643
21265,24.1,pg,walk,cafe,1,20,5,17.3,3,20,11688
12289,14.8,home,bicycle,home,4,14,2,19.7,4,7,7551
17156,22.8,home,walk,mess,10,27,4,15.7,2,26,10658
14888,25.1,hostel,own_vehicle,cafe,0,16,0,16.1,2,15,9094
3607,2.7,hostel,public,mixed,8,36,5,9.5,1,23,5640
23321,10.9,hostel,public,cafe,0,38,2,10.2,2,16,11691
5209,16.0,home,bicycle,mixed,6,32,0,8.5,2,23,5486
22868,18.2,pg,public,mess,6,40,0,2.7,3,27,12709
11827,1.2,home,bicycle,mixed,8,39,0,10.7,1,12,7821
19459,24.0,hostel,walk,home,10,7,3,18.8,3,19,11347
7572,26.4,pg,bicycle,home,3,5,1,7.3,4,15,6090
7489,10.5,pg,public,mixed,1,27,1,14.1,1,30,6353
11559,2.9,rented,bicycle,mixed,10,31,1,3.7,3,20,9277
19118,7.1,home,public,home,12,6,5,18.0,2,0,10999
22962,7.7,hostel,own_vehicle,home,7,16,0,8.0,4,2,12258
23237,21.3,rented,bicycle,cafe,0,21,4,3.6,3,7,12103
24004,24.2,hostel,public,cafe,11,35,3,10.4,2,12,13828
12679,20.2,pg,own_vehicle,home,7,37,2,9.6,2,16,9501
23540,3.2,hostel,bicycle,home,1,15,2,3.0,1,7,10319
24482,6.4,hostel,walk,mixed,5,12,2,19.0,1,5,11935
11524,12.3,rented,public,mess,2,13,1,16.6,2,5,7889
10475,25.7,hostel,own_vehicle,home,8,20,5,17.3,4,1,8682
21858,9.3,hostel,bicycle,mixed,0,33,2,11.7,4,30,11205
20012,6.3,pg,walk,home,1,27,6,19.0,2,4,10299
15313,19.6,hostel,bicycle,mixed,1,23,0,12.9,1,29,8518
17717,25.3,rented,public,home,8,0,1,9.4,3,20,11132
17341,26.7,pg,walk,mess,3,13,3,2.2,3,18,9679
11735,12.0,rented,public,cafe,4,1,3,17.3,1,0,8341
13514,27.4,rented,public,home,3,16,4,14.7,1,24,9129
19750,1.0,pg,bicycle,cafe,0,8,5,18.3,3,15,10487
18769,17.8,pg,public,mixed,11,22,1,9.8,3,13,11942
12659,3.2,pg,bicycle,mess,7,1,3,8.8,4,1,8226
24123,26.7,home,bicycle,home,1,6,4,16.0,1,22,11200
17114,21.0,hostel,public,cafe,11,14,0,12.3,4,6,11107
6738,25.3,rented,walk,home,7,31,4,2.5,4,0,6949
10042,14.7,pg,walk,mixed,1,34,4,3.6,1,28,6979
3477,8.7,rented,bicycle,mess,7,9,6,2.8,2,26,5658
11857,13.6,rented,bicycle,cafe,6,35,2,18.7,2,4,9169
14802,26.4,rented,walk,mixed,5,8,4,13.6,1,10,9554
10171,11.7,home,walk,home,0,28,1,18.2,1,19,5940
14324,14.4,hostel,bicycle,cafe,11,20,0,18.5,1,18,9797
22807,22.7,home,public,cafe,5,27,2,19.1,4,23,12741
20649,23.4,home,public,cafe,2,2,2,5.9,3,28,10741
5782,29.2,rented,public,mixed,7,17,0,11.7,2,1,6839
6835,21.9,home,public,home,0,1,0,5.3,3,27,4811
23567,2.5,hostel,public,mess,6,40,3,1.4,1,26,12147
11350,23.5,rented,own_vehicle,cafe,4,33,2,1.1,1,0,8846
4317,26.7,hostel,walk,cafe,11,26,2,17.1,3,19,6751
18137,11.7,pg,public,mixed,5,10,2,8.7,3,28,10757
21074,17.5,pg,public,mixed,6,8,2,9.4,1,2,11350
9305,16.0,home,public,mess,1,32,0,4.2,1,25,6011
15584,10.7,rented,walk,mess,5,36,2,12.4,3,7,9958
6566,10.3,hostel,own_vehicle,mess,12,31,2,2.4,4,21,7790
11995,14.5,home,own_vehicle,home,12,6,5,1.8,2,24,9001
8121,21.1,hostel,own_vehicle,mixed,7,3,1,7.9,4,3,7279
16542,15.4,rented,public,mixed,9,26,2,7.9,2,8,11068
13102,2.7,pg,bicycle,mess,1,15,6,9.4,2,8,7597
12143,23.1,pg,own_vehicle,cafe,9,5,5,17.3,3,16,10176
21849,29.8,hostel,walk,cafe,6,21,6,15.5,3,28,12518
16276,7.2,pg,public,mixed,8,1,5,19.2,2,15,10438
16018,20.0,home,own_vehicle,cafe,9,30,1,9.6,1,10,10521
11134,8.4,pg,public,mess,9,6,6,11.2,1,13,8339
7154,25.4,home,public,mixed,6,29,3,9.1,4,24,6953
4879,20.8,hostel,walk,home,5,10,3,16.9,2,10,4962
21902,19.8,pg,walk,mixed,6,37,3,17.1,1,16,12276
14633,12.7,home,public,mess,0,40,2,17.1,4,23,8648
9965,23.9,home,own_vehicle,mess,10,19,6,6.3,4,15,8702
18771,27.5,hostel,public,mess,5,28,6,17.1,1,4,10633
14966,29.9,hostel,walk,cafe,5,18,2,12.7,1,20,9179
23345,20.8,rented,own_vehicle,cafe,2,23,3,19.9,2,15,13580
11465,28.5,rented,public,cafe,5,21,5,13.7,4,12,9524
16434,6.5,rented,public,home,0,21,0,20.0,3,30,9811
10071,23.5,home,bicycle,mixed,11,30,1,11.0,2,15,8096
15749,17.2,home,walk,cafe,2,27,6,8.7,2,13,8833
16882,24.4,hostel,bicycle,mixed,6,19,2,11.3,3,6,9855
14808,1.6,home,own_vehicle,mess,6,22,1,10.1,4,21,9505
20219,7.8,rented,own_vehicle,mess,6,18,4,19.9,1,12,12359
9325,28.4,home,public,mess,10,30,6,4.3,2,11,7792
4182,3.2,hostel,public,mixed,9,30,4,2.2,2,6,5564
4752,14.5,hostel,walk,mess,3,13,6,17.1,3,26,5226
21989,0.7,pg,own_vehicle,cafe,3,11,6,19.8,2,24,12629
12132,18.8,hostel,walk,mess,11,24,5,12.0,3,29,9248
23014,18.5,hostel,bicycle,cafe,6,16,0,5.7,1,17,11778
8101,16.7,hostel,public,mixed,5,37,2,2.8,1,20,6631
7754,1.0,pg,bicycle,mess,5,38,3,19.7,4,20,7215
21994,7.8,pg,public,home,8,13,5,10.2,3,28,12487
8210,16.0,rented,own_vehicle,home,7,30,1,6.8,3,1,7967
10983,0.5,pg,own_vehicle,mixed,12,8,5,16.1,4,18,9924
9696,24.5,home,bicycle,cafe,0,21,2,4.8,4,14,6416
23230,18.3,rented,public,home,11,29,1,8.5,4,24,14085
18971,17.8,pg,public,mess,12,10,6,11.0,4,14,12259
8431,15.3,home,public,mixed,12,34,3,18.5,1,1,7757
12652,0.7,home,bicycle,mixed,9,24,2,4.5,3,3,8126
13379,14.7,hostel,walk,home,0,18,0,6.0,1,14,6754
6351,17.1,pg,public,home,12,15,3,2.1,2,13,6973
14941,13.2,hostel,public,mixed,3,22,2,1.6,2,11,8479
9849,27.1,hostel,walk,mess,11,20,4,6.7,4,14,8203
10380,28.6,hostel,bicycle,mixed,0,2,5,14.2,1,21,6545
18111,8.4,pg,walk,mixed,5,26,0,16.2,2,0,10163
9058,28.3,home,bicycle,mixed,3,15,6,12.3,1,2,6219
3186,3.1,rented,bicycle,mixed,2,4,6,16.2,2,29,5162
8219,28.5,rented,walk,mess,6,4,1,11.0,3,8,7203
22449,12.9,home,walk,home,10,20,6,2.6,3,7,11772
14186,16.4,hostel,public,mixed,1,4,6,11.6,1,25,8204
4066,28.7,rented,walk,mess,5,15,0,14.4,3,19,5924
23550,12.3,pg,own_vehicle,mixed,9,12,6,17.9,3,25,14254
19200,29.9,home,own_vehicle,mess,5,16,4,17.0,3,12,11269
7904,9.6,rented,walk,cafe,2,11,2,8.6,3,24,6861
4864,11.7,rented,own_vehicle,mess,12,31,2,17.2,1,23,8044
19981,4.9,home,walk,mess,4,35,4,16.7,1,12,10238
4819,11.2,hostel,walk,mixed,10,21,2,18.3,1,17,6023
8583,12.2,home,public,mess,4,17,5,6.5,3,28,6581
12142,22.4,rented,bicycle,mixed,7,40,0,11.1,1,22,9305
14355,25.5,hostel,public,mess,3,28,5,10.7,4,24,9224
8792,12.4,rented,own_vehicle,mess,4,9,2,2.2,1,9,7266
7910,26.2,hostel,own_vehicle,mixed,10,34,0,9.3,1,1,7728
17063,16.1,rented,bicycle,mixed,5,36,3,3.9,2,19,10652
24317,23.6,home,own_vehicle,mess,10,3,2,5.8,4,25,13607
5737,9.8,hostel,own_vehicle,mixed,0,5,5,16.8,4,11,5710
6633,21.4,hostel,walk,mixed,7,35,2,4.4,3,11,6358
14881,13.8,hostel,own_vehicle,mixed,7,2,3,9.1,2,22,9742
6025,18.2,pg,bicycle,home,4,37,6,3.2,2,0,5625
23810,17.8,pg,walk,cafe,2,28,1,15.2,4,17,12645
10276,6.0,home,public,mess,8,36,0,4.2,1,11,7173
22431,17.6,rented,public,mixed,10,25,4,15.0,1,2,13404
8779,20.2,pg,public,mixed,12,8,0,11.1,4,3,8312
3477,25.8,hostel,bicycle,cafe,7,2,6,2.3,4,27,5573
24264,5.2,hostel,own_vehicle,home,7,3,1,18.1,3,19,12949
14525,26.6,hostel,public,mess,6,28,3,15.3,4,22,9778
16544,4.7,home,public,mixed,11,12,3,17.3,1,4,10078
14788,7.5,home,own_vehicle,home,2,3,4,3.8,3,27,8461
12040,10.9,hostel,own_vehicle,cafe,0,39,3,11.6,4,26,8666
9694,24.7,home,walk,home,10,18,0,15.3,1,20,7305
3146,13.2,rented,public,cafe,3,36,1,19.1,1,8,5681
17109,2.0,rented,own_vehicle,mess,11,34,4,14.2,4,28,12710
4250,11.6,pg,own_vehicle,cafe,9,0,2,6.4,1,20,6469
13318,22.5,pg,walk,cafe,7,0,1,10.3,1,5,8602
17924,12.9,rented,walk,home,0,3,2,18.5,1,28,9644
6875,26.9,rented,own_vehicle,cafe,4,30,1,18.2,1,17,7912
12265,5.6,rented,walk,mixed,2,32,1,10.5,1,14,8054
8367,10.5,pg,bicycle,mess,5,8,4,7.9,3,26,6843
15117,27.0,hostel,bicycle,cafe,2,16,3,2.5,4,17,8886
19716,14.3,rented,walk,cafe,1,13,6,12.8,1,28,11121
20386,19.1,hostel,walk,cafe,11,5,6,6.5,2,0,11595
3106,14.9,hostel,public,cafe,1,21,3,12.0,2,6,4324
8047,14.3,pg,own_vehicle,cafe,7,14,4,9.8,2,1,7764
21590,28.1,rented,bicycle,home,9,3,3,19.6,3,13,12780
9510,12.5,hostel,own_vehicle,mess,2,19,6,16.4,1,6,6997
18636,6.3,rented,walk,home,10,20,4,19.8,1,18,11610
10268,26.8,home,public,home,6,19,1,19.4,3,21,7643
9388,2.7,rented,public,cafe,5,26,4,15.5,3,1,8170
20794,17.6,hostel,public,mixed,11,14,6,13.4,1,17,12259
17671,18.6,home,own_vehicle,home,3,2,1,4.8,3,4,9324
9887,7.4,pg,bicycle,mess,10,36,3,1.1,2,10,7921
3887,18.4,pg,own_vehicle,mess,4,0,0,15.8,2,24,5652
20900,27.5,home,own_vehicle,cafe,7,2,6,10.5,2,12,12092
4403,22.2,home,public,mixed,11,32,4,9.0,4,6,6514
16543,15.2,rented,bicycle,mixed,3,33,0,17.0,2,6,10088
9222,26.5,hostel,own_vehicle,mess,1,38,6,19.9,2,9,7474
18208,15.1,home,public,mess,8,25,1,3.0,4,26,10675
9164,12.2,pg,walk,mixed,8,36,3,1.2,4,24,8024
16072,25.6,hostel,bicycle,mixed,9,3,2,14.8,2,11,9867
8631,16.4,rented,own_vehicle,cafe,8,1,3,11.4,1,21,8608
17732,18.0,pg,public,mess,10,39,4,15.9,4,0,11715
10108,3.9,hostel,bicycle,cafe,8,0,4,11.4,3,28,7808
11469,7.9,home,walk,cafe,8,15,1,5.8,3,17,7857
15358,27.6,home,bicycle,mixed,0,11,0,5.1,1,13,7660
16844,22.5,home,public,mess,5,40,4,17.8,4,20,10442
12951,6.8,hostel,own_vehicle,mess,11,13,3,11.0,3,22,9773
10903,13.3,pg,own_vehicle,mixed,0,18,0,7.3,3,15,7653
20711,28.5,hostel,bicycle,mixed,3,4,2,16.6,1,26,10779
18663,20.1,home,bicycle,cafe,7,38,4,6.2,3,7,10815
9435,25.1,home,bicycle,mixed,3,2,2,13.3,4,13,6570
17244,4.2,rented,walk,mixed,8,17,5,18.4,3,28,11466
3444,23.0,rented,own_vehicle,mixed,4,26,3,3.6,4,16,6500
24699,9.6,home,public,home,5,21,5,17.2,2,8,12240
13947,17.0,home,own_vehicle,mixed,2,39,1,11.9,1,14,8683
8308,4.2,home,own_vehicle,cafe,0,27,5,1.4,3,24,6513
11512,3.3,pg,own_vehicle,home,8,26,5,11.2,2,7,8883
23189,4.2,pg,own_vehicle,home,2,22,5,17.7,4,20,12740
19416,22.2,pg,own_vehicle,mixed,1,3,1,7.8,3,15,10850
11804,19.3,hostel,public,home,7,5,5,6.8,2,13,7839
7772,14.5,rented,walk,mixed,0,3,5,2.5,4,13,6211
12350,25.7,hostel,own_vehicle,mess,4,38,6,1.7,1,0,8312
4538,18.0,home,own_vehicle,cafe,10,37,6,7.1,3,30,7378
13190,28.1,pg,walk,mess,1,30,4,17.5,4,4,8481
24447,22.1,home,public,home,12,0,5,7.0,2,10,12917
24797,20.3,home,bicycle,mess,7,12,1,3.1,4,11,12311
16102,17.2,hostel,walk,mixed,0,40,4,13.9,4,24,9343
5153,26.0,home,walk,home,10,16,0,13.1,3,1,5580
3735,12.3,pg,bicycle,mixed,6,16,1,6.9,3,24,5439
16562,10.3,home,public,mess,5,12,2,10.5,4,21,9514
11630,2.6,home,walk,home,8,23,5,11.9,3,6,7636
21003,16.2,home,public,cafe,9,40,4,10.4,3,18,12466
9137,2.0,hostel,public,cafe,2,33,5,15.9,2,24,7122
10484,1.7,hostel,own_vehicle,cafe,11,14,0,18.3,2,20,9050
7387,18.2,home,own_vehicle,cafe,4,18,1,5.3,2,18,6577
13128,10.5,home,own_vehicle,mixed,11,18,5,2.0,4,30,10042
17890,4.1,home,public,mixed,2,32,1,13.6,3,3,9472
21445,23.9,home,own_vehicle,mess,0,2,4,11.9,3,9,10816
8693,18.5,pg,bicycle,mess,6,40,2,3.5,2,16,7175
7149,12.8,rented,own_vehicle,mess,12,11,2,10.8,1,0,8068
14219,19.4,home,walk,cafe,12,33,5,6.0,3,21,10149
14493,26.8,rented,walk,home,12,14,2,4.9,3,8,10284
4830,21.6,home,walk,mess,6,13,0,18.9,2,18,5143
13773,18.4,rented,bicycle,cafe,7,34,5,15.9,3,27,10642
13687,18.7,home,bicycle,mess,2,33,1,2.4,1,25,7569
5338,5.6,rented,bicycle,mess,10,32,0,7.1,3,24,7037
19245,29.2,pg,own_vehicle,mixed,0,31,0,8.0,1,14,10783
3823,18.7,hostel,own_vehicle,home,6,13,1,9.4,2,29,5553
11367,21.5,pg,bicycle,mixed,5,28,1,1.1,4,19,8233
20212,1.8,home,walk,mixed,8,39,6,15.1,2,14,11354
22800,27.8,home,own_vehicle,cafe,2,12,4,12.2,4,26,12578
9395,11.8,hostel,public,cafe,4,17,0,17.5,2,16,7136
14872,13.7,pg,bicycle,mixed,12,9,5,12.5,1,13,10200
14531,3.3,rented,bicycle,mixed,4,28,6,16.2,4,30,10201
6239,11.0,rented,bicycle,home,3,4,5,9.5,2,2,5580
24795,6.6,rented,own_vehicle,cafe,6,4,4,16.8,1,27,14293
18230,11.5,hostel,bicycle,mess,12,1,6,1.4,1,5,10334
19341,15.9,rented,public,mixed,0,0,2,3.3,2,30,10511
13668,7.0,hostel,own_vehicle,home,1,39,5,1.1,2,28,8446
19251,25.1,home,bicycle,home,11,35,3,13.0,2,22,11447
19316,8.8,home,bicycle,home,6,32,5,12.6,3,6,10364
5911,2.5,rented,bicycle,cafe,12,13,4,10.3,1,14,7417
13655,13.5,pg,walk,cafe,10,19,2,13.4,3,25,10069
6769,17.9,home,public,cafe,10,36,6,15.5,4,5,7624
23741,8.0,pg,public,mess,9,9,6,10.4,1,27,13117
14624,13.6,pg,own_vehicle,cafe,0,28,0,7.1,1,28,9240
20748,4.9,hostel,walk,mess,3,5,5,11.1,4,4,10325
3620,14.4,hostel,public,cafe,11,23,3,9.2,1,19,6125
16375,24.2,home,own_vehicle,mess,1,21,0,14.6,2,8,9155
3048,23.1,hostel,bicycle,mixed,10,23,2,9.6,3,14,5636
15128,12.7,home,public,mixed,3,8,4,13.2,4,9,8783
5739,23.0,rented,walk,mixed,8,20,4,1.4,2,7,6666
10984,1.8,rented,own_vehicle,home,1,19,5,10.2,1,27,8058
16702,25.2,home,public,home,7,14,6,16.9,1,10,9731
9679,23.3,rented,bicycle,mess,7,33,0,13.1,4,4,8357
21965,6.2,home,walk,cafe,0,30,0,17.3,1,13,10452
16044,3.8,hostel,bicycle,mixed,7,3,2,11.9,3,3,9168
6919,13.9,home,own_vehicle,mixed,10,12,0,12.3,3,13,7241
17521,1.2,home,walk,mixed,4,39,3,16.7,2,4,9484
22827,25.9,pg,walk,mixed,8,33,2,14.5,4,27,13441
21454,16.3,pg,public,home,7,22,4,8.7,4,17,12258
17116,29.9,home,public,home,11,14,0,17.6,1,18,10462
17426,2.1,rented,public,mixed,5,37,2,1.3,2,27,10847
10080,11.7,pg,walk,mess,5,24,3,15.5,1,8,7235
3582,16.2,pg,public,mixed,4,38,5,16.8,1,20,5750
10863,13.6,home,public,mess,9,17,5,13.2,2,21,8143
6467,11.3,home,bicycle,mixed,8,5,6,5.2,1,11,5668
6480,15.5,hostel,bicycle,mixed,12,37,6,1.4,3,28,7472
17421,17.9,rented,own_vehicle,cafe,4,38,2,2.1,3,21,11665
20902,2.1,hostel,bicycle,cafe,2,31,4,11.7,1,27,10854
23511,29.3,pg,own_vehicle,mess,0,39,4,17.0,4,30,13362
4637,19.3,hostel,public,cafe,1,27,5,9.1,4,3,5267
6369,14.4,home,bicycle,cafe,2,0,3,17.9,4,1,5281
21255,29.1,rented,public,home,4,0,2,12.8,4,15,12012
22313,29.3,rented,own_vehicle,home,4,0,0,5.4,2,2,12125
14976,2.1,home,walk,mixed,5,37,4,12.6,2,24,8970
7991,20.7,rented,own_vehicle,mixed,4,6,4,6.1,3,27,7971
19582,28.0,pg,public,mess,9,36,0,2.6,2,27,11945
16222,7.1,rented,bicycle,home,7,31,5,15.4,1,17,10391
13727,17.4,pg,own_vehicle,home,3,39,5,15.1,3,8,9517
9504,20.9,rented,bicycle,mess,3,33,5,1.1,1,10,7210
24232,25.8,home,own_vehicle,cafe,12,6,5,19.3,1,6,14072
23400,16.5,rented,public,home,2,13,3,7.9,2,19,12171
19219,7.4,home,public,home,5,9,5,19.6,2,4,10067
12134,7.2,pg,walk,home,9,22,6,15.1,4,10,8960
17325,5.1,hostel,own_vehicle,home,3,23,0,1.2,3,27,9734
13672,23.2,hostel,public,home,9,18,0,10.0,2,16,8975
15420,5.8,rented,own_vehicle,home,9,12,6,14.9,4,0,11048
17017,26.3,pg,public,mixed,11,13,3,1.4,1,11,10864
14536,16.2,pg,own_vehicle,home,12,12,5,13.6,4,14,11050
15231,25.5,hostel,walk,cafe,3,8,5,18.9,1,24,9113
10046,25.1,hostel,public,mixed,7,21,6,8.2,4,6,8061
18976,2.9,home,own_vehicle,mess,8,1,6,16.4,3,7,11074
19576,5.7,hostel,bicycle,home,10,14,5,17.5,4,25,11573
13816,13.7,rented,bicycle,mixed,12,24,2,16.3,3,3,10563
8194,18.9,home,bicycle,home,2,0,4,19.3,2,25,5706
12195,23.2,rented,public,home,9,36,5,14.9,1,6,9597
19967,1.9,hostel,own_vehicle,mess,11,27,4,12.3,2,19,12317
22622,8.0,hostel,walk,mixed,10,33,1,10.9,2,19,12490
7616,2.3,pg,own_vehicle,mess,4,11,3,10.6,4,25,7219
6467,22.6,pg,own_vehicle,home,10,0,2,8.2,3,20,7428
24315,22.7,pg,public,mess,10,37,3,12.7,1,4,13638
10020,9.7,hostel,own_vehicle,mess,8,4,0,17.8,1,14,7786
6259,8.6,pg,bicycle,mixed,0,15,6,19.5,1,16,5467
24304,10.1,rented,public,cafe,3,31,1,15.8,2,5,13191
17140,25.8,home,own_vehicle,mixed,3,35,6,19.1,1,22,10600
22245,2.5,hostel,public,home,8,19,5,5.6,4,18,12048
18997,10.0,home,public,home,1,35,0,11.6,1,2,9143
20223,25.5,home,public,mixed,2,38,0,14.6,2,3,10537
7031,5.0,home,public,mixed,4,24,0,5.1,2,21,5666
9963,3.4,hostel,own_vehicle,mess,7,1,2,4.4,2,27,7565
7605,14.9,rented,walk,mess,8,20,4,16.4,1,13,7411
10164,0.9,rented,walk,mixed,5,8,6,9.6,4,2,7805
21128,26.7,hostel,walk,cafe,3,6,0,1.4,1,14,10384
22725,19.8,pg,public,mess,3,25,6,13.1,2,6,12055
20800,19.6,hostel,bicycle,mixed,0,11,0,17.2,1,26,10230
22554,9.5,hostel,public,mixed,9,24,0,17.4,2,26,12717
16204,1.3,home,own_vehicle,home,7,10,0,13.0,3,11,9586
4591,20.9,hostel,own_vehicle,home,11,22,1,5.6,2,11,6400
3892,3.5,home,bicycle,mixed,2,20,0,1.7,3,12,3816
